118	58	96
138	52	91
128	57	84
125	49	92
132	66	106
134	66	84
125	53	94
128	57	87
116	54	92
124	70	81
118	69	96
117	64	94
123	54	93
141	57	103
125	56	80
118	52	93
131	54	96
123	61	111
120	64	86
119	77	98
139	49	86
118	56	90
122	47	82
140	64	99
110	43	95
131	50	86
122	41	103
120	60	86
123	55	105
121	52	91
118	67	81
131	54	90
121	51	86
135	48	97
135	50	98
125	52	121
111	57	89
134	45	121
136	54	91
132	54	74
157	63	113
125	51	95
122	57	75
134	52	91
103	55	93
107	58	87
139	57	78
112	58	87
131	63	96
144	62	95
109	43	93
127	47	91
128	52	107
119	45	88
151	58	96
126	68	95
124	56	82
124	71	84
124	71	93
122	65	78
115	39	74
123	41	114
142	67	90
129	64	90
127	52	91
119	62	94
113	45	91
111	60	78
142	38	105
136	66	90
127	50	87
134	63	97
123	55	87
126	46	94
105	54	83
123	66	82
119	61	94
119	59	72
128	55	107
129	71	91
146	52	96
116	61	99
108	71	84
147	59	88
103	63	80
123	66	112
129	60	89
145	46	87
105	71	99
101	47	85
128	52	85
113	65	80
121	52	84
127	66	95
130	51	89
141	48	91
123	54	87
125	49	115
120	58	81
104	64	98
