54	56
62	53
51	61
57	42
52	45
53	53
43	50
51	49
62	50
44	48
58	61
63	45
59	62
58	46
44	50
47	55
46	43
44	49
42	68
53	47
55	45
43	44
57	52
56	58
46	36
49	56
50	51
47	44
55	67
46	40
54	58
46	46
47	57
48	55
52	55
46	50
49	53
51	62
45	43
53	57
55	47
45	43
42	66
56	46
42	47
48	55
38	42
51	57
37	38
46	58
53	59
52	59
43	60
46	43
55	52
52	44
48	53
36	55
53	54
36	42
44	65
45	43
45	42
47	43
47	49
55	53
48	39
42	46
54	47
54	50
40	55
47	53
47	55
49	47
58	48
45	40
49	39
48	42
50	49
53	53
59	43
46	48
39	54
51	45
74	49
52	40
57	52
50	46
54	43
43	56
62	46
52	47
52	51
61	41
56	54
54	46
39	52
51	56
49	50
52	49
